signal_id,signal,position,block,q1_mean,q2_mean,q3_mean,q4_mean,q5_mean,q5_q1_gap,is_monotonic,decision_relevant
FORM-002,xgi_roll5,FWD,late,3.222,3.038,4.808,3.731,4.296,1.074,False,False
FORM-003,goals_scored_roll3,DEF,full,3.183,3.27,3.108,2.772,3.1,-0.083,False,False
FORM-003,goals_scored_roll3,DEF,early,3.07,3.917,2.865,2.75,2.93,-0.14,False,False
FORM-003,goals_scored_roll3,DEF,mid,3.018,2.916,3.106,2.815,3.128,0.11,False,False
FORM-003,goals_scored_roll3,DEF,late,3.707,3.082,3.49,2.796,3.232,-0.475,False,False
FORM-003,goals_scored_roll3,MID,full,3.258,3.227,3.195,3.141,3.635,0.378,False,False
FORM-003,goals_scored_roll3,MID,early,3.373,3.074,3.085,3.369,3.322,-0.051,False,False
FORM-003,goals_scored_roll3,MID,mid,3.256,3.325,3.291,3.093,3.37,0.113,False,False
FORM-003,goals_scored_roll3,MID,late,3.018,3.5,2.918,3.027,4.627,1.609,False,False
FORM-003,goals_scored_roll3,FWD,full,3.42,3.353,3.378,3.571,4.21,0.79,False,False
FORM-003,goals_scored_roll3,FWD,early,3.083,3.25,3.389,3.444,5.139,2.056,True,True
FORM-003,goals_scored_roll3,FWD,mid,3.614,3.232,2.474,3.982,3.86,0.246,False,False
FORM-003,goals_scored_roll3,FWD,late,4.074,3.346,4.308,3.0,4.333,0.259,False,False
FORM-004,points_roll3,GKP,full,2.901,2.95,3.117,3.525,3.248,0.347,False,False
FORM-004,points_roll3,GKP,early,2.875,2.775,3.154,3.125,3.3,0.425,False,False
FORM-004,points_roll3,GKP,mid,3.286,2.891,3.179,3.582,3.196,-0.089,False,False
FORM-004,points_roll3,GKP,late,2.52,3.04,2.8,4.12,3.2,0.68,False,False
FORM-004,points_roll3,DEF,full,2.539,3.081,2.994,3.058,3.759,1.22,False,False
FORM-004,points_roll3,DEF,early,2.439,3.109,3.25,2.968,3.764,1.325,False,False
FORM-004,points_roll3,DEF,mid,2.67,3.009,2.855,3.07,3.379,0.709,False,False
FORM-004,points_roll3,DEF,late,2.293,3.357,3.041,3.286,4.333,2.04,False,False
FORM-004,points_roll3,MID,full,2.821,2.893,3.392,3.544,3.807,0.987,True,False
FORM-004,points_roll3,MID,early,2.435,3.256,3.165,3.602,3.768,1.333,False,False
FORM-004,points_roll3,MID,mid,3.038,2.84,3.439,3.274,3.744,0.706,False,False
FORM-004,points_roll3,MID,late,2.727,2.655,3.627,3.845,4.236,1.509,False,False
FORM-004,points_roll3,FWD,full,3.134,3.185,3.37,3.63,4.613,1.479,True,True
FORM-004,points_roll3,FWD,early,3.528,3.194,2.694,3.611,5.278,1.75,False,False
FORM-004,points_roll3,FWD,mid,2.982,2.929,3.509,3.554,4.175,1.193,False,False
FORM-004,points_roll3,FWD,late,3.259,3.769,3.654,3.731,4.667,1.407,False,False
FORM-005,points_roll5,GKP,full,2.853,3.083,3.358,3.241,3.431,0.578,False,False
FORM-005,points_roll5,GKP,early,2.929,3.429,3.179,3.179,3.179,0.25,False,False
FORM-005,points_roll5,GKP,mid,2.554,3.455,3.768,3.164,3.196,0.643,False,False
FORM-005,points_roll5,GKP,late,2.92,2.76,1.96,3.96,4.08,1.16,False,False
FORM-005,points_roll5,DEF,full,2.562,2.998,2.935,3.438,3.518,0.956,False,False
FORM-005,points_roll5,DEF,early,2.44,3.315,2.991,3.213,3.697,1.257,False,False
FORM-005,points_roll5,DEF,mid,2.744,2.819,2.934,3.132,3.352,0.608,True,False
FORM-005,points_roll5,DEF,late,2.333,2.969,3.133,3.602,4.273,1.939,True,True
FORM-005,points_roll5,MID,full,2.699,3.167,3.203,3.542,4.004,1.305,True,True
FORM-005,points_roll5,MID,early,2.392,3.476,3.232,3.629,4.008,1.616,False,False
FORM-005,points_roll5,MID,mid,2.979,3.165,2.987,3.342,3.861,0.882,False,False
FORM-005,points_roll5,MID,late,2.591,2.764,3.536,3.982,4.218,1.627,True,True
FORM-005,points_roll5,FWD,full,3.211,3.596,3.435,3.532,4.018,0.807,False,False
FORM-005,points_roll5,FWD,early,3.923,2.577,3.6,2.654,5.115,1.192,False,False
FORM-005,points_roll5,FWD,mid,2.895,3.571,3.509,3.446,3.737,0.842,False,False
FORM-005,points_roll5,FWD,late,3.444,4.231,3.077,4.154,4.185,0.741,False,False
FORM-006,minutes_roll3,DEF,full,2.429,2.869,3.441,3.32,3.373,0.944,False,False
FORM-006,minutes_roll3,DEF,early,2.382,2.724,3.301,3.974,3.153,0.771,False,False
FORM-006,minutes_roll3,DEF,mid,2.555,2.872,3.066,2.978,3.511,0.956,False,False
FORM-006,minutes_roll3,DEF,late,2.01,3.48,3.49,4.02,3.323,1.313,False,False
FORM-006,minutes_roll3,MID,full,2.605,3.067,3.358,3.729,3.698,1.094,False,False
FORM-006,minutes_roll3,MID,early,2.237,3.193,3.443,3.795,3.559,1.322,False,False
FORM-006,minutes_roll3,MID,mid,2.723,3.186,3.211,3.414,3.803,1.08,True,True
FORM-006,minutes_roll3,MID,late,2.809,2.809,3.764,3.855,3.855,1.045,True,True
FORM-006,minutes_roll3,FWD,full,3.437,3.345,3.487,3.748,3.916,0.479,False,False
FORM-006,minutes_roll3,FWD,early,4.056,2.639,3.75,3.611,4.25,0.194,False,False
FORM-006,minutes_roll3,FWD,mid,2.86,3.625,3.614,3.411,3.649,0.789,False,False
FORM-006,minutes_roll3,FWD,late,3.556,3.577,4.038,3.731,4.185,0.63,False,False
